Dataset,Organism,Group,Ecosystem,Site_num,Area,Ave_TP,Ave_AL,Ave_AT,Ave_AP,Ave_Elevation,Gamma_Diversity,Max_Distance,Ave_HFP,Ave_Builtup,Ave_Crops,Ave_Forest,Body_size,Dispersal_type,X,Y,FDGamma,Mean_Urban,Mean_Agriculture,Mean_Forest,Code
LFIPP,Phytoplankton,Producer,Lake,100,33591.55566,35.0155,61.19478141,3.836863416,653.6666667,109.8888889,330,8.922734996,10.19988037,0.799652873,0.939861169,76.68736191,6.00E-09,Passive,25.77862701,62.13710012,0.136330878,1.067018686,2.175682611,73.2424174,PP05
LFIPP_2,Phytoplankton,Producer,Lake,3771,343318.9983,30.09209317,62.78427401,2.714648009,617.3799416,128.5065004,165,11.44242259,7.791330669,0.947534074,4.43350371,57.46823383,6.00E-09,Passive,26.34898595,62.78427643,0.139720319,1.048349553,4.257903871,58.10138894,PP06
LFIZP,Zooplankton,Consumer,Lake,100,33594.76952,35.0155,61.19478141,3.836863416,653.6666667,109.8888889,57,8.922734996,10.19988037,0.799652873,0.939861169,76.68736191,0.00018197,Passive,25.77862701,62.13710012,0.126008461,1.067018686,2.175682611,73.2424174,ZP03
LHUAP,Aquatic Plants,Producer,Lake,18,18412.48764,181.9444444,47.06570372,10.51273145,523.3333333,88.38888889,34,3.665751274,18.82241646,1.896172468,51.75029597,15.35582682,10,Seeds,20.44017615,47.01415281,0.18753746,2.731356437,61.16013525,13.45139856,AP01
LPOPP,Phytoplankton,Producer,Lake,117,251855.2482,128.1025641,53.21424483,7.467636499,578.9568966,132.362069,594,11.49464462,15.91986567,7.356094018,42.02317462,29.92127594,6.00E-09,Passive,20.06519744,53.20517094,0.084233192,7.539084923,42.78615136,29.35990533,PP09
LSWAP,Aquatic Plants,Producer,Lake,41,488867.9591,17.72292683,61.10623775,3.857686792,640.1034483,199.0344828,11,15.0740191,10.62686805,2.262551209,4.994308047,49.64702784,10,Seeds,16.54033496,61.09842096,0.32525409,2.824392364,6.018884629,53.96565097,AP07
LUSAP,Aquatic Plants,Producer,Lake,33,139531.1268,71.81127057,45.63012344,5.767937858,710.8474576,346.0508475,10,7.042508215,13.75311233,2.650202434,2.215194038,12.85526124,10,Seeds,-93.95434258,45.60164274,0.356738618,3.319356856,9.900728788,33.28404356,AP05
LUSAP_2,Aquatic Plants,Producer,Lake,31,73127.34901,19.64516129,44.4872804,6.106076409,816.0416667,363.1875,10,5.354939203,17.36390185,5.709894283,1.89866755,32.11315191,10,Seeds,-89.15591724,44.50757692,0.355697233,6.852081812,8.271095245,54.85699571,AP08
LUSBM,Benthic Macroinvertebrates,Consumer,Lake,967,9498900.831,123.9902172,40.76333185,9.862232858,858.4446743,573.1664943,527,56.11737381,12.5630981,4.248744335,8.070445163,35.05329642,0.026061535,Active,-94.76555505,40.73514835,0.034275714,5.372069818,12.78353887,40.38697099,BM13
LUSBM_2,Benthic Macroinvertebrates,Consumer,Lake,1079,9641952.845,110.1310894,41.05243628,9.539002159,874.0111214,606.1000927,596,56.76550204,12.06970022,4.030815608,7.201221192,35.32156404,0.026061535,Active,-95.14939158,41.06754948,0.026816005,5.079097189,11.85745196,41.00201669,BM15
LUSBM_3,Benthic Macroinvertebrates,Consumer,Lake,1004,9508182.801,122.5804781,40.93200773,9.595538669,847.7788845,647.8157371,532,57.05021359,12.11944863,4.102279997,6.339726317,30.92971094,0.026061535,Active,-95.72133008,40.93725126,0.032198916,5.351372249,11.69694961,37.41394638,BM16
LUSBM_4,Benthic Macroinvertebrates,Consumer,Lake,1044,8872939.646,109.6058429,40.79770285,9.68868534,843.8898467,645.4655172,528,57.03016561,11.56624594,3.248278018,5.734417465,28.7598438,0.026061535,Active,-94.83988323,40.79185836,0.050070448,4.495704293,11.18482478,37.11997236,BM17
